word	comparative	superlative
slurry	slurrier	slurriest
slushy	slushier	slushiest
slutty	sluttier	sluttiest
sly	slier	sliest
smacky	smackier	smackiest
small	smaller	smallest
smarmy	smarmier	smarmiest
smart	smarter	smartest
smeary	smearier	smeariest
smelly	smellier	smelliest
smexy	smexier	smexiest
smidgey	smidgier	smidgiest
smidgy	smidgier	smidgiest
smiley	smilier	smiliest
smirchy	smirchier	smirchiest
smirky	smirkier	smirkiest
smoggy	smoggier	smoggiest
smoky	smokier	smokiest
smol	smoler	smolest
smoochy	smoochier	smoochiest
smooth	smoother	smoothest
smoove	smoover	smoovest
smort	smorter	smortest
smudgey	smudgier	smudgiest
smudgy	smudgier	smudgiest
smug	smugger	smuggest
smurfy	smurfier	smurfiest
smushy	smushier	smushiest
smutty	smuttier	smuttiest
snacky	snackier	snackiest
snaggy	snaggier	snaggiest
snaily	snailier	snailiest
snaky	snakier	snakiest
snappy	snappier	snappiest
snarky	snarkier	snarkiest
snarly	snarlier	snarliest
snatchy	snatchier	snatchiest
snazzy	snazzier	snazziest
sneaky	sneakier	sneakiest
sneery	sneerier	sneeriest
sneezy	sneezier	sneeziest
snell	sneller	snellest
snide	snider	snidest
sniffly	snifflier	sniffliest
sniffy	sniffier	sniffiest
snipey	snipier	snipiest
snippy	snippier	snippiest
snipy	snipier	snipiest
snitchy	snitchier	snitchiest
snithy	snithier	snithiest
snitty	snittier	snittiest
snobby	snobbier	snobbiest
snoopy	snoopier	snoopiest
snooty	snootier	snootiest
snoozy	snoozier	snooziest
snorty	snortier	snortiest
snory	snorier	snoriest
snotty	snottier	snottiest
snouty	snoutier	snoutiest
snowy	snowier	snowiest
snubby	snubbier	snubbiest
snuffy	snuffier	snuffiest
snug	snugger	snuggest
snuggly	snugglier	snuggliest
soaky	soakier	soakiest
soapy	soapier	soapiest
sobby	sobbier	sobbiest
sober	soberer	soberest
soft	softer	softest
soggy	soggier	soggiest
soily	soilier	soiliest
solemn	solemner	solemnest
solid	solider	solidest
somber	somberer	somberest
sombre	sombrer	sombrest
songly	songlier	songliest
songy	songier	songiest
sonly	sonlier	sonliest
sooky	sookier	sookiest
soon	sooner	soonest
soothy	soothier	soothiest
sooty	sootier	sootiest
soppy	soppier	soppiest
sordid	sordider	sordidest
sore	sorer	sorest
sorry	sorrier	sorriest
sound	sounder	soundest
soupy	soupier	soupiest
sour	sourer	sourest
southern		southernmost
sower	sowerer	sowerest
soy	soyer	soyest
spacey	spacier	spaciest
spacky	spackier	spackiest
spacy	spacier	spaciest
spammy	spammier	spammiest
spangly	spanglier	spangliest
spare	sparer	sparest
sparkly	sparklier	sparkliest
sparky	sparkier	sparkiest
sparse	sparser	sparsest
spazzy	spazzier	spazziest
special	specialer	specialest
specky	speckier	speckiest
speechworthy	speechworthier	speechworthiest
speedy	speedier	speediest
spendy	spendier	spendiest
spergy	spergier	spergiest
spermy	spermier	spermiest
spick	spicker	spickest
spicy	spicier	spiciest
spidery	spiderier	spideriest
spiffy	spiffier	spiffiest
spikey	spikier	spikiest
spiky	spikier	spikiest
spindly	spindlier	spindliest
spinny	spinnier	spinniest
spiny	spinier	spiniest
spivvy	spivvier	spivviest
splashy	splashier	splashiest
spleeny	spleenier	spleeniest
splendid	splendider	splendidest
splishy	splishier	splishiest
splitty	splittier	splittiest
splodgy	splodgier	splodgiest
sploshy	sploshier	sploshiest
splotchy	splotchier	splotchiest
splurgy	splurgier	splurgiest
spluttery	splutterier	splutteriest
spongey	spongier	spongiest
spongy	spongier	spongiest
spoofy	spoofier	spoofiest
spooky	spookier	spookiest
spooney	spoonier	spooniest
spoony	spoonier	spooniest
spoopy	spoopier	spoopiest
sporty	sportier	sportiest
spotty	spottier	spottiest
sprauncy	sprauncier	spraunciest
sprawly	sprawlier	sprawliest
sprayey	sprayier	sprayiest
sprightlie	sprightlier	sprightliest
sprightly	sprightlier	sprightliest
springy	springier	springiest
spritely	spritelier	spriteliest
spritzy	spritzier	spritziest
sprouty	sproutier	sproutiest
spruce	sprucer	sprucest
sprucy	sprucier	spruciest
spry	sprier	spriest
spumy	spumier	spumiest
spunky	spunkier	spunkiest
squabby	squabbier	squabbiest
squalid	squalider	squalidest
squally	squallier	squalliest
squammy	squammier	squammiest
square	squarer	squarest
squashy	squashier	squashiest
squat	squatter	squattest
squatty	squattier	squattiest
squawky	squawkier	squawkiest
squeaky	squeakier	squeakiest
squealy	squealier	squealiest
squeezy	squeezier	squeeziest
squelchy	squelchier	squelchiest
squicky	squickier	squickiest
squidgy	squidgier	squidgiest
squiffy	squiffier	squiffiest
squiggley	squigglier	squiggliest
squiggly	squigglier	squiggliest
squinchy	squinchier	squinchiest
squinty	squintier	squintiest
squirmy	squirmier	squirmiest
squirrelly	squirrellier	squirrelliest
squishy	squishier	squishiest
squooshy	squooshier	squooshiest
stabby	stabbier	stabbiest
stable	stabler	stablest
stageworthy	stageworthier	stageworthiest
staggy	staggier	staggiest
stagy	stagier	stagiest
staid	staider	staidest
stale	staler	stalest
stalky	stalkier	stalkiest
stanch	stancher	stanchest
starchy	starchier	starchiest
starey	starier	stariest
stark	starker	starkest
starry	starrier	starriest
stary	starier	stariest
stately	statelier	stateliest
staunch	stauncher	staunchest
steadfast	steadfaster	steadfastest
steady	steadier	steadiest
steaky	steakier	steakiest
stealthy	stealthier	stealthiest
steamy	steamier	steamiest
stedfast	stedfaster	stedfastest
steely	steelier	steeliest
steep	steeper	steepest
steezy	steezier	steeziest
stemmy	stemmier	stemmiest
stenchy	stenchier	stenchiest
stern	sterner	sternest
sterne	sterner	sternest
stick	sticker	stickest
sticky	stickier	stickiest
stiddy	stiddier	stiddiest
stiff	stiffer	stiffest
still	stiller	stillest
stilly	stillier	stilliest
stilty	stiltier	stiltiest
stingy	stingier	stingiest
stinky	stinkier	stinkiest
stocky	stockier	stockiest
stodgy	stodgier	stodgiest
stolid	stolider	stolidest
stompy	stompier	stompiest
stony	stonier	stoniest
stoopid	stoopider	stoopidest
stoor	stoorer	stoorest
storky	storkier	storkiest
stormy	stormier	stormiest
stout	stouter	stoutest
straggly	stragglier	straggliest
straicht	straichter	straichtest
straight	straighter	straightest
strait	straiter	straitest
strange	stranger	strangest
strappy	strappier	strappiest
straung	straunger	straungest
strawberry	strawberrier	strawberriest
strawy	strawier	strawiest
stray	strayer	strayest
streaky	streakier	streakiest
streamy	streamier	streamiest
streetworthy	streetworthier	streetworthiest
strengthy	strengthier	strengthiest
stressy	stressier	stressiest
stretchy	stretchier	stretchiest
strict	stricter	strictest
strikt	strikter	striktest
stringy	stringier	stringiest
stripey	stripier	stripiest
stripy	stripier	stripiest
strong	stronger	strongest
stroppy	stroppier	stroppiest
stubbly	stubblier	stubbliest
stubby	stubbier	stubbiest
studly	studlier	studliest
stuffy	stuffier	stuffiest
stumbly	stumblier	stumbliest
stumpy	stumpier	stumpiest
stupid	stupider	stupidest
sturdy	sturdier	sturdiest
stuttery	stutterier	stutteriest
suave	suaver	suavest
subby	subbier	subbiest
sublime	sublimer	sublimest
subtile	subtiler	subtilest
subtle	subtler	subtlest
succinct	succincter	succinctest
sucky	suckier	suckiest
sudden	suddener	suddenest
sudsy	sudsier	sudsiest
sugary	sugarier	sugariest
sulky	sulkier	sulkiest
sullen	sullener	sullenest
sultry	sultrier	sultriest
summery	summerier	summeriest
sunly	sunlier	sunliest
sunny	sunnier	sunniest
superb	superber	superbest
supple	suppler	supplest
supream	supreamer	supreamest
supreme	supremer	supremest
sure	surer	surest
surfy	surfier	surfiest
surly	surlier	surliest
sus	susser	sussest
sussy	sussier	sussiest
svelte	svelter	sveltest
swack	swacker	swackest
swaggy	swaggier	swaggiest
swaly	swalier	swaliest
swampy	swampier	swampiest
swank	swanker	swankest
swanky	swankier	swankiest
swanny	swannier	swanniest
swarmy	swarmier	swarmiest
swart	swarter	swartest
swarthy	swarthier	swarthiest
swash	swasher	swashest
swear	swearer	swearest
sweary	swearier	sweariest
sweaty	sweatier	sweatiest
sweepy	sweepier	sweepiest
sweet	sweeter	sweetest
swell	sweller	swellest
swicy	swicier	swiciest
swift	swifter	swiftest
swimmy	swimmier	swimmiest
swinging	swinginger	swingingest
swingy	swingier	swingiest
swirly	swirlier	swirliest
swish	swisher	swishest
swishy	swishier	swishiest
switchy	switchier	switchiest
swole	swoler	swolest
swoony	swoonier	swooniest
swoopy	swoopier	swoopiest
swotty	swottier	swottiest
syrupy	syrupier	syrupiest
tabby	tabbier	tabbiest
tacky	tackier	tackiest
taggy	taggier	taggiest
talksy	talksier	talksiest
talky	talkier	talkiest
tall	taller	tallest
tame	tamer	tamest
tan	tanner	tannest
tangly	tanglier	tangliest
tangy	tangier	tangiest
tanky	tankier	tankiest
tardy	tardier	tardiest
tarry	tarrier	tarriest
tart	tarter	tartest
tarty	tartier	tartiest
tasky	taskier	taskiest
tasty	tastier	tastiest
tatty	tattier	tattiest
taut	tauter	tautest
tawdry	tawdrier	tawdriest
tawny	tawnier	tawniest
teary	tearier	teariest
techy	techier	techiest
teensy	teensier	teensiest
teentsy	teentsier	teentsiest
teenty	teentier	teentiest
teeny	teenier	teeniest
tender	tenderer	tenderest
tense	tenser	tensest
terfy	terfier	terfiest
terrible	terribler	terriblest
terse	terser	tersest
testy	testier	testiest
tetchy	tetchier	tetchiest
teuch	teucher	teuchest
thankworthy	thankworthier	thankworthiest
thatchy	thatchier	thatchiest
thic	thiccer	thiccest
thicc	thiccer	thiccest
thick	thicker	thickest
thin	thinner	thinnest
thingy	thingier	thingiest
thirsty	thirstier	thirstiest
thistly	thistlier	thistliest
thoan	thoaner	thoanest
thorny	thornier	thorniest
thoro	thoroer	thoroest
thorough	thorougher	thoroughest
thotty	thottier	thottiest
thoughtworthy	thoughtworthier	thoughtworthiest
thrashy	thrashier	thrashiest
thready	threadier	threadiest
thrifty	thriftier	thriftiest
thrilly	thrillier	thrilliest
throaty	throatier	throatiest
throbby	throbbier	throbbiest
throng	thronger	throngest
thuggy	thuggier	thuggiest
thumby	thumbier	thumbiest
thumpy	thumpier	thumpiest
thungry	thungrier	thungriest
thwarty	thwartier	thwartiest
thymey	thymier	thymiest
thymy	thymier	thymiest
tichy	tichier	tichiest
tickly	ticklier	tickliest
ticky	tickier	tickiest
tiddly	tiddlier	tiddliest
tiddy	tiddier	tiddiest
tidy	tidier	tidiest
tight	tighter	tightest
timely	timelier	timeliest
timid	timider	timidest
tine	tiner	tinest
tinfoily	tinfoilier	tinfoiliest
tingly	tinglier	tingliest
tinkly	tinklier	tinkliest
tinny	tinnier	tinniest
tiny	tinier	tiniest
tippy	tippier	tippiest
tipsy	tipsier	tipsiest
tired	tireder	tiredest
titchy	titchier	titchiest
toasty	toastier	toastiest
toey	toeier	toeiest
toffy	toffier	toffiest
tomatoey	tomatoier	tomatoiest
toney	tonier	toniest
tonguey	tonguier	tonguiest
tonguy	tonguier	tonguiest
tonk	tonker	tonkest
tony	tonier	toniest
toolsy	toolsier	toolsiest
toothly	toothlier	toothliest
toothy	toothier	toothiest
toplofty	toploftier	toploftiest
torchy	torchier	torchiest
torquey	torquier	torquiest
torrid	torrider	torridest
tort	torter	tortest
tosh	tosher	toshest
toshy	toshier	toshiest
tottery	totterier	totteriest
touchy	touchier	touchiest
tough	tougher	toughest
touristy	touristier	touristiest
towny	townier	towniest
towzy	towzier	towziest
trace		tracest
traddy	traddier	traddiest
trampy	trampier	trampiest
tranquil	tranquiler	tranquilest
trappy	trappier	trappiest
trashy	trashier	trashiest
treacly	treaclier	treacliest
trebly	treblier	trebliest
treey	treeier	treeiest
trembly	tremblier	trembliest
trendy	trendier	trendiest
trick	tricker	trickest
tricksy	tricksier	tricksiest
tricky	trickier	trickiest
trig	trigger	triggest
trill	triller	trillest
trim	trimmer	trimmest
tripey	tripier	tripiest
trippy	trippier	trippiest
tripy	tripier	tripiest
trite	triter	tritest
trouty	troutier	troutiest
true	truer	truest
trusty	trustier	trustiest
truthy	truthier	truthiest
tubby	tubbier	tubbiest
tuff	tuffer	tuffest
tufty	tuftier	tuftiest
tuny	tunier	tuniest
turfy	turfier	turfiest
turpsy	turpsier	turpsiest
tusky	tuskier	tuskiest
twangy	twangier	twangiest
twatty	twattier	twattiest
tweaky	tweakier	tweakiest
twee	tweer	tweest
tweedy	tweedier	tweediest
tweeny	tweenier	tweeniest
tweety	tweetier	tweetiest
twiddly	twiddlier	twiddliest
twiggy	twiggier	twiggiest
twinkly	twinklier	twinkliest
twinky	twinkier	twinkiest
twirly	twirlier	twirliest
twisty	twistier	twistiest
twitchy	twitchier	twitchiest
twitty	twittier	twittiest
twunky	twunkier	twunkiest
typey	typier	typiest
typy	typier	typiest
ugly	uglier	ugliest
ultradry	ultradrier	ultradriest
unable	unabler	unablest
unbusy	unbusier	unbusiest
uncanny	uncannier	uncanniest
unclean	uncleaner	uncleanest
unclear	unclearer	unclearest
uncomely	uncomelier	uncomeliest
uncommon	uncommoner	uncommonest
uncool	uncooler	uncoolest
uncouth	uncouther	uncouthest
undirty	undirtier	undirtiest
unearthly	unearthlier	unearthliest
uneasy	uneasier	uneasiest
unfair	unfairer	unfairest
unfit	unfitter	unfittest
unfree	unfreer	unfreest
unfriendly	unfriendlier	unfriendliest
unfull	unfuller	unfullest
unfunny	unfunnier	unfunniest
unfussy	unfussier	unfussiest
ungainly	ungainlier	ungainliest
ungentle	ungentler	ungentlest
ungodly	ungodlier	ungodliest
ungood	ungooder	ungoodest
unhandsome	unhandsomer	unhandsomest
unhandy	unhandier	unhandiest
unhappy	unhappier	unhappiest
unhealthy	unhealthier	unhealthiest
unholy	unholier	unholiest
unique	uniquer	uniquest
unkind	unkinder	unkindest
unlikely	unlikelier	unlikeliest
unlovely	unlovelier	unloveliest
unlucky	unluckier	unluckiest
unmad	unmadder	unmaddest
unmanly	unmanlier	unmanliest
unmannerly	unmannerlier	unmannerliest
unpleasant	unpleasanter	unpleasantest
unpretty	unprettier	unprettiest
unquiet	unquieter	unquietest
unripe	unriper	unripest
unruly	unrulier	unruliest
unsafe	unsafer	unsafest
unseemly	unseemlier	unseemliest
unsexy	unsexier	unsexiest
unskinny	unskinnier	unskinniest
unsound	unsounder	unsoundest
unsteady	unsteadier	unsteadiest
unsubtle	unsubtler	unsubtlest
unsure	unsurer	unsurest
unthrifty	unthriftier	unthriftiest
untidy	untidier	untidiest
untimely	untimelier	untimeliest
unwary	unwarier	unwariest
unwelcome	unwelcomer	unwelcomest
unwide	unwider	unwidest
unwise	unwiser	unwisest
unworldly	unworldlier	unworldliest
unworthy	unworthier	unworthiest
upper		uppermost
uppity	uppitier	uppitiest
uppy	uppier	uppiest
uptight	uptighter	uptightest
urbane	urbaner	urbanest
useful	usefuller	usefullest
useless	uselesser	uselessest
utter		utmost
vague	vaguer	vaguest
vain	vainer	vainest
vampy	vampier	vampiest
vast	vaster	vastest
veally	veallier	vealliest
vealy	vealier	vealiest
veiny	veinier	veiniest
verie	verier	veriest
very	verier	veriest
verye	verier	veriest
vibey	vibier	vibiest
viby	vibier	vibiest
vicious	viciouser	viciousest
vile	viler	vilest
viny	vinier	viniest
violent	violenter	violentest
violet	violeter	violetest
vivid	vivider	vividest
vuggy	vuggier	vuggiest
vulgar	vulgarer	vulgarest
wabbly	wabblier	wabbliest
wack	wacker	wackest
wacky	wackier	wackiest
waffley	wafflier	waffliest
waffly	wafflier	waffliest
waggly	wagglier	waggliest
waggy	waggier	waggiest
waily	wailier	wailiest
waltzy	waltzier	waltziest
wan	wanner	wannest
wanky	wankier	wankiest
wanton	wantoner	wantonest
warby	warbier	warbiest
warm	warmer	warmest
warmy	warmier	warmiest
warry	warrier	warriest
warty	wartier	wartiest
warweary	warwearier	warweariest
wary	warier	wariest
washy	washier	washiest
waspy	waspier	waspiest
wassy	wassier	wassiest
wasty	wastier	wastiest
watery	waterier	wateriest
watry	watrier	watriest
wavey	wavier	waviest
wavy	wavier	waviest
waxy	waxier	waxiest
weak	weaker	weakest
weakly	weaklier	weakliest
weaky	weakier	weakiest
wealthy	wealthier	wealthiest
weary	wearier	weariest
weaselly	weasellier	weaselliest
weasely	weaselier	weaseliest
webby	webbier	webbiest
wedgy	wedgier	wedgiest
wee	weer	weest
weeby	weebier	weebiest
weedy	weedier	weediest
weensy	weensier	weensiest
weepy	weepier	weepiest
weighty	weightier	weightiest
weird	weirder	weirdest
welcome	welcomer	welcomest
well	better	best
wenchy	wenchier	wenchiest
western		westernmost
wet	wetter	wettest
whack	whacker	whackest
whacky	whackier	whackiest
wheaty	wheatier	wheatiest
wheelie	wheelier	wheeliest
wheely	wheelier	wheeliest
wheezy	wheezier	wheeziest
whelpy	whelpier	whelpiest
wheyey	wheyier	wheyiest
whiffy	whiffier	whiffiest
whifty	whiftier	whiftiest
whimpy	whimpier	whimpiest
whimsy	whimsier	whimsiest
whiney	whinier	whiniest
whiny	whinier	whiniest
whippy	whippier	whippiest
whirly	whirlier	whirliest
white	whiter	whitest
whitey	whitier	whitiest
whity	whitier	whitiest
whizzy	whizzier	whizziest
whole	wholer	wholest
wholesome	wholesomer	wholesomest
wholle	wholler	whollest
wholsom	wholsomer	wholsomest
wholsome	wholsomer	wholsomest
whorey	whorier	whoriest
whott	whotter	whottest
wibbly	wibblier	wibbliest
wick	wicker	wickest
wicked	wickeder	wickedest
widdle	widdler	widdlest
wide	wider	widest
wifely	wifelier	wifeliest
wifey	wifier	wifiest
wifty	wiftier	wiftiest
wiggly	wigglier	wiggliest
wiggy	wiggier	wiggiest
wild	wilder	wildest
wilful	wilfuler	wilfulest
willful	willfuler	willfulest
willowy	willowier	willowiest
wily	wilier	wiliest
wimpy	wimpier	wimpiest
windy	windier	windiest
winning	winninger	winningest
winsome	winsomer	winsomest
wintery	winterier	winteriest
wintry	wintrier	wintriest
winy	winier	winiest
wiry	wirier	wiriest
wise	wiser	wisest
wisht	wishter	wishtest
wispy	wispier	wispiest
witchy	witchier	witchiest
witty	wittier	wittiest
wobbly	wobblier	wobbliest
wodgy	wodgier	wodgiest
woeful	woefuller	woefullest
wofull	wofuller	wofullest
woggy	woggier	woggiest
woke	woker	wokest
wolfly	wolflier	wolfliest
wolfy	wolfier	wolfiest
womanly	womanlier	womanliest
wonderful	wonderfuller	wonderfullest
wonky	wonkier	wonkiest
woodsy	woodsier	woodsiest
woody	woodier	woodiest
woofy	woofier	woofiest
woolly	woollier	woolliest
wooly	woolier	wooliest
woozy	woozier	wooziest
wordy	wordier	wordiest
worky	workier	workiest
worldly	worldlier	worldliest
worldweary	worldwearier	worldweariest
wormy	wormier	wormiest
worthless	worthlesser	worthlessest
worthly	worthlier	worthliest
worthy	worthier	worthiest
wrathy	wrathier	wrathiest
wriggly	wrigglier	wriggliest
wrinkly	wrinklier	wrinkliest
wristy	wristier	wristiest
wry	wrier	wriest
wurlie	wurlier	wurliest
wurly	wurlier	wurliest
wussy	wussier	wussiest
wyde	wyder	wydest
wyse	wyser	wysest
yachty	yachtier	yachtiest
yakky	yakkier	yakkiest
yald	yalder	yaldest
yaller	yallerer	yallerest
yappy	yappier	yappiest
yar	yarer	yarest
yare	yarer	yarest
yawny	yawnier	yawniest
yearny	yearnier	yearniest
yeasty	yeastier	yeastiest
yecchy	yecchier	yecchiest
yechy	yechier	yechiest
yellow	yellower	yellowest
yellowy	yellowier	yellowiest
yelly	yellier	yelliest
yelpy	yelpier	yelpiest
yesty	yestier	yestiest
yiffy	yiffier	yiffiest
yolky	yolkier	yolkiest
yong	yonger	yongest
yoong	yoonger	yoongest
young	younger	youngest
yucky	yuckier	yuckiest
yukky	yukkier	yukkiest
yummy	yummier	yummiest
yuriful	yurifuller	yurifullest
zany	zanier	zaniest
zappy	zappier	zappiest
zazzy	zazzier	zazziest
zeitgeisty	zeitgeistier	zeitgeistiest
zesty	zestier	zestiest
zhooshy	zhooshier	zhooshiest
zingy	zingier	zingiest
zippy	zippier	zippiest
zitty	zittier	zittiest
zooey	zooier	zooiest
zoomy	zoomier	zoomiest
